image_path,yellow_pct,dark_pct
../data/raw/banana_set_large\20230204_084028179_jpg.rf.6fb6729410d4573ff43d34bac9c5f54d.jpg,17.0,16.6
../data/raw/banana_set_large\20230204_084042298_jpg.rf.2197cf4328a910f1f690e19d3b05785a.jpg,20.3,7.9
../data/raw/banana_set_large\20230204_084051331_jpg.rf.a0f69b58fc2b6ec8611ac42c7cf44db5.jpg,24.1,19.3
../data/raw/banana_set_large\20230204_084243_jpg.rf.3e32e141939436a02c05989c99518a6a.jpg,11.6,37.7
../data/raw/banana_set_large\20230204_084320_jpg.rf.c989a65a4927e8c00125f56ba3a2d820.jpg,21.1,33.7
../data/raw/banana_set_large\20230204_084323370_jpg.rf.59545dba20c3512eb1bedfd4bc1a1bad.jpg,19.8,24.9
../data/raw/banana_set_large\20230204_084342_jpg.rf.a69ce7219493a662571328a27f3719a0.jpg,18.6,38.2
../data/raw/banana_set_large\20230204_084354635_jpg.rf.da6bc8b899d88fb38505a1d5acea5069.jpg,24.3,25.2
../data/raw/banana_set_large\20230204_084401_jpg.rf.7253367435c8b147e36407ac63f15363.jpg,22.2,17.4
../data/raw/banana_set_large\20230204_084412143_jpg.rf.9e2cad56a730a6d824807beb2c101e88.jpg,13.5,17.5
../data/raw/banana_set_large\20230204_084414_jpg.rf.b6f62e5de8f03dc91eb54ceea25ad7e2.jpg,17.0,25.1
../data/raw/banana_set_large\20230204_084428_jpg.rf.6b0f76de66a20d8b29e68f7b07698d48.jpg,9.7,20.1
../data/raw/banana_set_large\20230204_084445158_jpg.rf.9eacef83fbed4d2d37277f1edafd4879.jpg,16.7,30.1
../data/raw/banana_set_large\20230204_084450_jpg.rf.06938ca95cf63b3bc0675b974d361b29.jpg,31.0,14.0
../data/raw/banana_set_large\20230204_084508193_jpg.rf.4fd56f3a6b5fa183048d88be55b35913.jpg,16.0,3.9
../data/raw/banana_set_large\20230204_084514_jpg.rf.5410061ceb80f8ea8615367e3ef121f0.jpg,21.3,26.2
../data/raw/banana_set_large\20230204_084519813_jpg.rf.391fc9ea9001eb60e581adfa5afe855c.jpg,15.6,1.2
../data/raw/banana_set_large\20230204_084527_jpg.rf.c2517b1dce76e52bfec234ff15fa9d13.jpg,15.7,26.2
../data/raw/banana_set_large\20230204_084534752_jpg.rf.c5879758bcf63f871af6bc06d8d1271c.jpg,5.3,6.4
../data/raw/banana_set_large\20230204_084546764_jpg.rf.5e8cfaf1f722df33238ba29a8bd1a171.jpg,10.4,2.0
../data/raw/banana_set_large\20230204_084556_jpg.rf.3e818a6fcd631d9de35ecf11a6ee0600.jpg,2.3,7.9
../data/raw/banana_set_large\20230204_084601679_jpg.rf.50966e1c2e4860b9cbead393f5fe6f57.jpg,14.7,2.1
../data/raw/banana_set_large\20230204_084604_jpg.rf.329a5ecdbbcc97e2e9e24870d9175455.jpg,1.2,5.6
../data/raw/banana_set_large\20230204_084608486_jpg.rf.6ad1d940c5cadb2398b816a346e799ac.jpg,0.9,8.3
../data/raw/banana_set_large\20230204_084617_jpg.rf.8ed2c28c8550197485e2c28bf30d605f.jpg,1.7,5.8
../data/raw/banana_set_large\20230204_084622511_jpg.rf.8b580666d199e49d6b1197d2fde61dc3.jpg,31.8,5.9
../data/raw/banana_set_large\20230204_084628_jpg.rf.c34737342ca9b16fce8dd8aac7e103ab.jpg,1.4,5.4
../data/raw/banana_set_large\20230204_084635811_jpg.rf.05726d4907b770ecd97c16dd4ba7d387.jpg,20.7,2.8
../data/raw/banana_set_large\20230204_084646_jpg.rf.a3d387add46b237aeca505b3eb58dbcd.jpg,27.5,5.7
../data/raw/banana_set_large\20230204_084652_jpg.rf.3c69a39f41855906f2639d96aa9684b0.jpg,1.5,3.9
../data/raw/banana_set_large\20230204_084654781_jpg.rf.6809bb3da575326897701c665220226f.jpg,22.8,3.6
../data/raw/banana_set_large\20230204_084702_jpg.rf.7995879fa7dca91ace5394c1f05c6005.jpg,17.6,6.0
../data/raw/banana_set_large\20230204_084714_jpg.rf.aedb2ecd59af77148df76abeb2bd0063.jpg,24.2,5.6
../data/raw/banana_set_large\20230204_084751_jpg.rf.1a4712aac524f75a979e8c345f50f1b5.jpg,11.1,8.7
../data/raw/banana_set_large\20230204_084801_jpg.rf.904e374b05b9dd48df2dbb0892007ead.jpg,3.6,3.2
../data/raw/banana_set_large\20230204_084806_jpg.rf.0c394ce44010d6be4558381d927541fa.jpg,13.2,13.5
../data/raw/banana_set_large\20230204_084807151_jpg.rf.693dbc2d5c28caa08a9fe9c0f8453c6d.jpg,9.4,18.4
../data/raw/banana_set_large\20230204_084812_jpg.rf.b4398df12b7b0dacc4986955f73e4752.jpg,13.1,8.8
../data/raw/banana_set_large\20230204_084824436_jpg.rf.3c0cf341b0be59782678f2b3a3ed0201.jpg,30.6,11.9
../data/raw/banana_set_large\20230204_084824_jpg.rf.a5d373bd59876c604e5500372248e746.jpg,11.2,7.4
../data/raw/banana_set_large\20230204_084829582_jpg.rf.54137cd5098da3c8c15583413d3cdfad.jpg,26.4,17.5
../data/raw/banana_set_large\20230204_084831_jpg.rf.7382c9aecbcecc8527cb4a6b23d79afc.jpg,0.5,4.1
../data/raw/banana_set_large\20230204_084835_jpg.rf.ece8cbb9cbc38c5d6b9287385a2ca327.jpg,2.1,8.1
../data/raw/banana_set_large\20230204_084840754_jpg.rf.c8ae13c189109ec33af0f25aeb8665a6.jpg,17.7,13.4
../data/raw/banana_set_large\20230204_084855899_jpg.rf.3e53baae2b9a1319dc093f0fe050a2c9.jpg,28.5,4.5
../data/raw/banana_set_large\20230204_084914324_jpg.rf.095eeb913a2e49a4e71182978981fa6b.jpg,20.8,4.3
../data/raw/banana_set_large\20230204_084919801_jpg.rf.03809e2629faffb85c406d6a24001af7.jpg,20.8,5.0
../data/raw/banana_set_large\20230204_084937_jpg.rf.95e4d501b1d5fc400222305ef53d6543.jpg,24.2,4.2
../data/raw/banana_set_large\20230204_084947_jpg.rf.74a351528e03bb81ab97a63e88614d18.jpg,3.1,4.2
../data/raw/banana_set_large\20230204_084948917_jpg.rf.9d4e3b489fed6d02863d2f6c3f730a2b.jpg,35.0,6.5
../data/raw/banana_set_large\20230204_085015747_jpg.rf.acc8c1428ee6a4a329f5fa5cb34f3c10.jpg,23.5,23.4
../data/raw/banana_set_large\20230204_085022097_jpg.rf.fab06500038c06c321575da47631d3a1.jpg,30.7,26.1
../data/raw/banana_set_large\20230204_085026_jpg.rf.24666a07c92bbff935f03670feb700a9.jpg,14.2,17.3
../data/raw/banana_set_large\20230204_085032763_jpg.rf.1a50da270442a396680383753cdaa8f4.jpg,24.1,27.0
../data/raw/banana_set_large\20230204_085033_jpg.rf.18c2659562f3a40e314f28e6f5824a95.jpg,11.2,4.8
../data/raw/banana_set_large\20230204_085038_jpg.rf.d3e3f321168f5e3a5423d5b5cd717fca.jpg,18.3,5.6
../data/raw/banana_set_large\20230204_085049_jpg.rf.ba56c5b7fc15119095fe1eaec727cdaf.jpg,16.0,17.9
../data/raw/banana_set_large\20230204_085102258_jpg.rf.6d2fa19e598380ff2e850156e84699d4.jpg,21.0,15.7
../data/raw/banana_set_large\20230204_085111234_jpg.rf.a4268fa27a5b42772da119fe24da6c8f.jpg,37.2,19.1
../data/raw/banana_set_large\20230204_085115_jpg.rf.4e7404d7bdc29b7d68ab4a20432f96c0.jpg,40.9,23.7
../data/raw/banana_set_large\20230204_085125272_jpg.rf.b7fb36d5a735b5907b85c41127ad75b5.jpg,12.6,43.4
../data/raw/banana_set_large\20230204_085125_jpg.rf.736f6d396c416cf19fafcd0b0da7983a.jpg,30.0,26.8
../data/raw/banana_set_large\20230213_075010_jpg.rf.e1988e78028d83f1fcd5497c44215ca5.jpg,50.5,16.9
../data/raw/banana_set_large\20230213_075025_jpg.rf.3dcba904d04bee23d0acb3da839782e4.jpg,0.0,66.9
../data/raw/banana_set_large\20230213_075035_jpg.rf.2823316aefd5b80d120db96612034d9e.jpg,37.9,8.7
../data/raw/banana_set_large\20230213_075052_jpg.rf.4ae0ad2b5e057d1e84f78900e52b905f.jpg,23.1,10.8
../data/raw/banana_set_large\20230213_075058_jpg.rf.e3a3303bbbc7374051b3aa6ffeb7fc07.jpg,11.7,10.6
../data/raw/banana_set_large\20230213_075104_jpg.rf.73045f1e8308d873c5b270db9688ecb1.jpg,38.9,17.9
../data/raw/banana_set_large\20230213_075113_jpg.rf.0c833a74f1242041ff60e08d203a2d8a.jpg,15.8,11.5
../data/raw/banana_set_large\20230213_075116_jpg.rf.716b09d60a95f63aeb299b4a0cce2f30.jpg,49.9,22.3
../data/raw/banana_set_large\20230213_075118_jpg.rf.151317652c8c98e6b09cbac7369af8f2.jpg,43.3,41.6
../data/raw/banana_set_large\20230213_075123_jpg.rf.84db27a452cbd105ee809929738f741d.jpg,36.1,8.8
../data/raw/banana_set_large\20230213_075128_jpg.rf.d0e765483f258bb10d823ba43252fef8.jpg,23.9,11.6
../data/raw/banana_set_large\20230213_075128_jpg.rf.e30509f1e93046445fb2dfa18729ac2c.jpg,10.8,20.4
../data/raw/banana_set_large\20230213_075136_jpg.rf.d82cadc49db7be93f6f1c520ea18273d.jpg,16.4,6.0
../data/raw/banana_set_large\20230213_075140_jpg.rf.2fd460f370484c508d911d70e4a294c6.jpg,16.7,15.7
../data/raw/banana_set_large\20230213_075149_jpg.rf.dde93c49708ca58e09e68a9475c2e31d.jpg,17.8,11.9
../data/raw/banana_set_large\20230213_075151_jpg.rf.0c07c3843921e85a69cc3d855dcf9360.jpg,48.3,23.5
../data/raw/banana_set_large\20230213_075158_jpg.rf.72b9f4ac7075ab66a982d42f983e8464.jpg,21.2,21.1
../data/raw/banana_set_large\20230213_075214_jpg.rf.8a00725e4226dffb03fa2d16504f5d03.jpg,33.0,13.6
../data/raw/banana_set_large\20230213_075216_jpg.rf.b542704e48aa8b5010accfa1d0bc0fbc.jpg,32.0,28.3
../data/raw/banana_set_large\20230213_075221_jpg.rf.d23722ae0c32e6b23ecb6b2c01b406ba.jpg,8.5,18.9
../data/raw/banana_set_large\20230213_075226_jpg.rf.f3c5d7a0da2cc896727c8baca3d4d3e7.jpg,19.2,16.6
../data/raw/banana_set_large\20230213_075232_jpg.rf.ce4e89c6ec5403b1ba4b5fe08213de68.jpg,15.8,12.4
../data/raw/banana_set_large\20230213_075234_jpg.rf.60a1e78499de9af242d220400ea17b20.jpg,13.2,12.8
../data/raw/banana_set_large\20230213_075235_jpg.rf.4507ed7cec65b28a0d797421d12b8a78.jpg,7.5,22.4
../data/raw/banana_set_large\20230213_075243_jpg.rf.bbe6d7ea1d2aab6180d29dec22ad35db.jpg,18.0,7.8
../data/raw/banana_set_large\20230213_075248_jpg.rf.fff0601ea3f8c1e36bc8fda39bf1a22e.jpg,15.4,14.9
../data/raw/banana_set_large\20230213_075257_jpg.rf.572632a05f3a5a375801078d2bf7adda.jpg,30.2,7.3
../data/raw/banana_set_large\20230213_075303_jpg.rf.635ca4e314b911eec51d78b848a466f0.jpg,48.3,5.7
../data/raw/banana_set_large\20230213_075307_jpg.rf.a7a1cac3858afa6266c2f43f79409ad0.jpg,23.3,11.1
